#$Id: coef_canauxTOmev_etalons_camp5.dat,v 1.2 2009/03/20 14:00:37 franklan Exp $
#Fonction (pol2) permettant de passer des canaux bruts aux volts
#type ring gain p0 p1 p2 xmin xmax nbredepics
#
#A noter pour le SILI 17 une calibration realisee sur une
#gamme plus restreinte car probleme de linearite
Run Range : 6001 8842
SILI_10_PG -0.070989 0.001326 1.422518e-08 64.87 3605.71  25  
SILI_11_PG -0.070198 0.001325 1.313358e-08 64.25 3616.95  25  
SILI_12_PG -0.070674 0.001365 1.193449e-08 62.77 3527.99  25  
SILI_13_PG -0.063501 0.001278 1.214795e-08 88.56 3743.05  25  
SILI_14_PG -0.065434 0.001299 1.252410e-08 62.17 3684.20  25  
SILI_15_PG -0.065850 0.001334 1.255589e-08 60.46 3596.51  25  
SILI_16_PG -0.064112 0.001273 1.244278e-08 89.79 3754.71  25  
SILI_17_PG -0.065756 0.001240 -2.51860e-08 63.81 2691.11  23  
SI75_10_PG -0.057519 0.001049 3.437427e-08 64.67 3927.94  23  
SI75_11_PG -0.062795 0.001102 3.576659e-08 65.65 3769.85  23  
SI75_12_PG -0.058411 0.001069 3.525972e-08 63.89 3864.23  23  
SI75_13_PG -0.055897 0.001010 3.476776e-08 64.38 4041.07  23  
SI75_14_PG -0.062227 0.001222 2.070952e-08 73.33 3595.03  22  
SI75_15_PG -0.056027 0.001033 3.660709e-08 63.41 3951.19  23  
SI75_16_PG -0.063478 0.001296 1.054046e-08 82.85 3497.95  21  
SI75_17_PG -0.058477 0.001088 3.380660e-08 62.54 3826.69  23  
