# Runlist.csv file written by KVINDRADB::WriteRunListFile on Thu Sep  8 09:27:17 2011
Version=10
2 | Buffers=4342 | Events=378328 | Faraday 1=0 | PRG23=0 | DEC=460067 | FC=378582 | OK=378582 | FT=378582 | AVL=0 | OCD=378582 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=78799 | Gene TM=18550 | Gene MARQ=0 | OA=378582 | RAZ=378583 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=7.044763 | Size (MB)=67.843750 | Dead time (%)=23.540909 | Start Date=7-SEP-2011 18:12:06.00 | End Date=7-SEP-2011 18:19:08.00 | Comments=Pas de Chio, Pas d'etalons, CsI 10-17. Gains Si: 1 (1-5) 2.828 (6-7) 4 (8-9) | 
3 | Buffers=12708 | Events=1117034 | Faraday 1=0 | PRG23=0 | DEC=1360234 | FC=1117802 | OK=1117802 | FT=1117802 | AVL=0 | OCD=1117802 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=231437 | Gene TM=53698 | Gene MARQ=0 | OA=1117802 | RAZ=1117803 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.558150 | Size (MB)=198.562500 | Dead time (%)=23.201994 | Start Date=7-SEP-2011 18:23:19.00 | End Date=7-SEP-2011 18:44:06.00 | Comments=Gains Si: 4 partout | 
4 | Buffers=12708 | Events=1116823 | Faraday 1=0 | PRG23=0 | DEC=1360414 | FC=1116391 | OK=1116391 | FT=1116391 | AVL=0 | OCD=1116391 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230034 | Gene TM=53506 | Gene MARQ=0 | OA=1116391 | RAZ=1116392 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.528700 | Size (MB)=198.562500 | Dead time (%)=23.260040 | Start Date=7-SEP-2011 18:44:06.00 | End Date=7-SEP-2011 19:04:22.00 | Comments=Gains Si: 4 partout | 
5 | Buffers=12709 | Events=1117424 | Faraday 1=0 | PRG23=0 | DEC=1360272 | FC=1117911 | OK=1117911 | FT=1117911 | AVL=0 | OCD=1117911 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230830 | Gene TM=53698 | Gene MARQ=0 | OA=1117911 | RAZ=1117912 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.538183 | Size (MB)=198.578100 | Dead time (%)=23.263008 | Start Date=7-SEP-2011 19:04:23.00 | End Date=7-SEP-2011 19:25:09.00 | Comments=Gains Si: 4 partout | 
6 | Buffers=12707 | Events=1117023 | Faraday 1=0 | PRG23=0 | DEC=1357681 | FC=1116639 | OK=1116639 | FT=1116639 | AVL=0 | OCD=1116639 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230486 | Gene TM=53637 | Gene MARQ=0 | OA=1116639 | RAZ=1116639 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.597933 | Size (MB)=198.546900 | Dead time (%)=23.271261 | Start Date=7-SEP-2011 19:25:09.00 | End Date=7-SEP-2011 19:45:27.00 | Comments=Gains Si: 4 partout | 
7 | Buffers=12709 | Events=1117205 | Faraday 1=0 | PRG23=0 | DEC=1362343 | FC=1117471 | OK=1117471 | FT=1117471 | AVL=0 | OCD=1117471 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230110 | Gene TM=53505 | Gene MARQ=0 | OA=1117471 | RAZ=1117472 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.653683 | Size (MB)=198.578100 | Dead time (%)=23.251923 | Start Date=7-SEP-2011 19:45:27.00 | End Date=7-SEP-2011 20:06:17.00 | Comments=Gains Si: 4 partout | 
8 | Buffers=12708 | Events=1116863 | Faraday 1=0 | PRG23=0 | DEC=1357820 | FC=1116699 | OK=1116699 | FT=1116699 | AVL=0 | OCD=1116699 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230410 | Gene TM=53748 | Gene MARQ=0 | OA=1116699 | RAZ=1116699 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.600067 | Size (MB)=198.562500 | Dead time (%)=23.327112 | Start Date=7-SEP-2011 20:06:17.00 | End Date=7-SEP-2011 20:27:05.00 | Comments=Gains Si: 4 partout | 
9 | Buffers=12707 | Events=1116981 | Faraday 1=0 | PRG23=0 | DEC=1357696 | FC=1117265 | OK=1117265 | FT=1117265 | AVL=0 | OCD=1117265 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230946 | Gene TM=54183 | Gene MARQ=0 | OA=1117265 | RAZ=1117265 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.670083 | Size (MB)=198.546900 | Dead time (%)=23.461329 | Start Date=7-SEP-2011 20:27:05.00 | End Date=7-SEP-2011 20:47:25.00 | Comments=Gains Si: 4 partout | 
10 | Buffers=12710 | Events=1117181 | Faraday 1=0 | PRG23=0 | DEC=1358143 | FC=1117571 | OK=1117571 | FT=1117571 | AVL=0 | OCD=1117571 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=230073 | Gene TM=53349 | Gene MARQ=0 | OA=1117571 | RAZ=1117572 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.608000 | Size (MB)=198.593800 | Dead time (%)=23.187859 | Start Date=7-SEP-2011 20:47:25.00 | End Date=7-SEP-2011 21:08:14.00 | Comments=Gains Si: 4 partout | 
11 | Buffers=12709 | Events=1117261 | Faraday 1=0 | PRG23=0 | DEC=1359442 | FC=1117379 | OK=1117379 | FT=1117379 | AVL=0 | OCD=1117379 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229817 | Gene TM=53575 | Gene MARQ=0 | OA=1117379 | RAZ=1117380 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.567067 | Size (MB)=198.578100 | Dead time (%)=23.312027 | Start Date=7-SEP-2011 21:08:14.00 | End Date=7-SEP-2011 21:29:01.00 | Comments=Gains Si: 4 partout | 
12 | Buffers=12706 | Events=1116806 | Faraday 1=0 | PRG23=0 | DEC=1356738 | FC=1116245 | OK=1116245 | FT=1116245 | AVL=0 | OCD=1116245 | Gene LASER=0 | Gene ELECT=0 | Gene TEST=0 | Gene DIRECT=229260 | Gene TM=53031 | Gene MARQ=0 | OA=1116245 | RAZ=1116246 | Plast All=0 | Plast G=0 | Plast C=0 | Plast D=0 | Length (min.)=20.492617 | Size (MB)=198.531200 | Dead time (%)=23.131380 | Start Date=7-SEP-2011 21:29:01.00 | End Date=7-SEP-2011 21:49:16.00 | Comments=Gains Si: 4 partout | 
