#######################################################################################
#Fonction de correction du rapport M/Q en fonction du Brho
#Lignes de commandes : 
#.x load_charge.C
#f->mq_corr4048(Brho,Q,p1)
#Correction de type : M_Q corrigée = p0(Brho) + p1(Brho) * M/Q mesurée
#Fonction linéaire
#######################################################################################

#Brho	run1	run2	p0		p1		chi2

#48Ca+40Ca
1.962	327	331	-0.0449728	1.01582		0.000218471
2.120	332	332	0.528201	0.787511	0.00165075		
1.8051	333	338	-0.0956034	1.04502		0.000215901
1.660	339	343	-0.0974142	1.04776		4.54838e-05
1.523	344	347	-0.1137820	1.05307		3.52781e-05
1.405	348	350	-0.0923251	1.04524		2.55572e-05
1.293	353	354	-0.0650547	1.03084		5.24889e-05
1.1894	355	356	-0.0635171	1.03154		4.00342e-05

#1.094	357	357
#1.008	358	358
#0.927	359	359
#0.853	360	360

#48Ca+48Ca	
1.962	379	382	-0.0958193	1.04469		0.000788008		
2.120	383	383	0.000455544	0.999661	0.00100522		
1.805	384	389	-0.0863822	1.04098		0.000628233	
1.661	390	397	-0.0929410	1.04564		0.000118481
1.523	398	402	-0.0923837	1.04528		0.000164579	
1.406	403	406	-0.00481947	1.00063		0.001701630
#1.293	407	409	
#1.190	410	416
	
#1.092	417	418	
#1.004	419	419	
#0.849	420	420	
#0.923	421	422	
#0.849	423	423	
#0.782	424	424	

#40Ca+48Ca		
1.656	455	465	-0.114062	1.05552		0.000149216
1.800	466	474	-0.100798	1.05140		0.000121285
1.523	475	483	-0.119650	1.05765		1.58213e-05	
1.401	484	489	-0.119356	1.05936		2.00502e-05
1.289	490	492	-0.0928751	1.04783		8.37458e-06
1.186	493	495	-0.015862	1.01532		0.000524588	
1.091	496	500	-0.123660	1.06483		7.96446e-05

#1.004	501	501
#0.923	502	504
#0.849	505	506
#0.782	507	508
#0.719	509	509

#40Ca+40Ca
#0.719	511	513	
#0.661	514	514
#0.782	515	516
#0.849	517	517
#0.923	518	519
#1.004	520	520
#1.091	521	522

1.186	523	524	-0.0714903	1.03523		4.67798e-05
1.289	525	527	-0.094829	1.04675		0.000120599
1.401	528	530	-0.0946145	1.04571		0.000450534	
1.523	531	536	-0.106211	1.05192		0.000231218	
1.656	537	542	-0.120582	1.06099		0.0217867
1.800	543	547	-0.0638491	1.03621		0.000650629

#1.957	548	548
#2.120	549	549
#2.220	550	550

